# [0]VOLTS  [1]isub_xnmos_d  [2]isub_xpmos_d 
 4.600000e-01  6.620231e-07  -6.938925e-09 
 4.700000e-01  6.710911e-07  -5.439291e-09 
 4.800000e-01  6.801590e-07  -3.939657e-09 
 4.900000e-01  6.892267e-07  -2.440022e-09 
 5.000000e-01  6.982945e-07  -9.403894e-10 
 5.100000e-01  6.997109e-07  -8.515593e-10 
 5.200000e-01  7.011166e-07  -7.627290e-10 
 5.300000e-01  7.025224e-07  -6.738989e-10 
 5.400000e-01  7.039281e-07  -5.850687e-10 
 5.500000e-01  7.053338e-07  -4.962385e-10 
 5.600000e-01  7.067395e-07  -4.074083e-10 
 5.700000e-01  7.081453e-07  -3.185781e-10 
 5.800000e-01  7.095510e-07  -2.297479e-10 
 5.900000e-01  7.109567e-07  -1.409177e-10 
 6.000000e-01  7.123624e-07  -5.208745e-11 
 6.100000e-01  7.147719e-07  -4.716326e-11 
 6.200000e-01  7.171828e-07  -4.223907e-11 
 6.300000e-01  7.195938e-07  -3.731488e-11 
 6.400000e-01  7.220047e-07  -3.239070e-11 
 6.500000e-01  7.244157e-07  -2.746651e-11 
 6.600000e-01  7.268266e-07  -2.254232e-11 
 6.700000e-01  7.292375e-07  -1.761813e-11 
 6.800000e-01  7.316484e-07  -1.269394e-11 
 6.900000e-01  7.340593e-07  -7.769754e-12 
 7.000000e-01  7.364702e-07  -2.845565e-12 
 
 0.000000e+00  1.016238e-10  -1.654569e-06 
 1.000000e-02  2.767154e-10  -1.636865e-06 
 2.000000e-02  4.518070e-10  -1.619160e-06 
 3.000000e-02  6.268986e-10  -1.601455e-06 
 4.000000e-02  8.019903e-10  -1.583750e-06 
 5.000000e-02  9.770820e-10  -1.566044e-06 
 6.000000e-02  1.152174e-09  -1.548338e-06 
 7.000000e-02  1.327265e-09  -1.530632e-06 
 8.000000e-02  1.502357e-09  -1.512926e-06 
 9.000000e-02  1.677449e-09  -1.495219e-06 
 1.000000e-01  1.852540e-09  -1.477400e-06 
 1.100000e-01  4.759813e-09  -1.421555e-06 
 1.200000e-01  7.667094e-09  -1.365708e-06 
 1.300000e-01  1.057437e-08  -1.309859e-06 
 1.400000e-01  1.348165e-08  -1.254009e-06 
 1.500000e-01  1.638892e-08  -1.198156e-06 
 1.600000e-01  1.929619e-08  -1.142303e-06 
 1.700000e-01  2.220345e-08  -1.086447e-06 
 1.800000e-01  2.511071e-08  -1.030589e-06 
 1.900000e-01  2.801797e-08  -9.747303e-07 
 2.000000e-01  3.092523e-08  -9.188384e-07 
 2.100000e-01  5.774426e-08  -8.461558e-07 
 2.200000e-01  8.456446e-08  -7.734715e-07 
 2.300000e-01  1.113844e-07  -7.007852e-07 
 2.400000e-01  1.382040e-07  -6.280972e-07 
 2.500000e-01  1.650233e-07  -5.554072e-07 
 2.600000e-01  1.918423e-07  -4.827154e-07 
 2.700000e-01  2.186610e-07  -4.100218e-07 
 2.800000e-01  2.454794e-07  -3.373263e-07 
 2.900000e-01  2.722975e-07  -2.646289e-07 
 3.000000e-01  2.991154e-07  -1.919508e-07 
 3.100000e-01  3.540121e-07  -1.743402e-07 
 3.200000e-01  4.089237e-07  -1.567294e-07 
 3.300000e-01  4.638333e-07  -1.391185e-07 
 3.400000e-01  5.187409e-07  -1.215076e-07 
 3.500000e-01  5.736465e-07  -1.038965e-07 
 3.600000e-01  6.285502e-07  -8.628533e-08 
 3.700000e-01  6.834519e-07  -6.867408e-08 
 3.800000e-01  7.383517e-07  -5.106272e-08 
 3.900000e-01  7.932494e-07  -3.345127e-08 
 4.000000e-01  8.481452e-07  -1.584023e-08 
 4.100000e-01  8.678829e-07  -1.434960e-08 
 4.200000e-01  8.875606e-07  -1.285897e-08 
 4.300000e-01  9.072379e-07  -1.136833e-08 
 4.400000e-01  9.269148e-07  -9.877694e-09 
